user_id,event_date,event_type
u_00001,2025-08-07,login
u_00001,2025-08-14,login
u_00001,2025-08-19,login
u_00001,2025-09-05,login
u_00001,2025-09-10,login
u_00001,2025-09-15,login
u_00001,2025-09-21,login
u_00001,2025-09-26,payment
u_00001,2025-10-21,login
u_00001,2025-10-26,login
u_00001,2025-10-26,payment
u_00001,2025-11-11,login
u_00001,2025-11-13,login
u_00001,2025-11-21,login
u_00001,2025-11-23,login
u_00001,2025-11-25,payment
u_00001,2025-11-30,login
u_00001,2025-12-02,login
u_00001,2025-12-19,login
u_00001,2025-12-25,payment
u_00001,2025-12-25,login
u_00001,2025-12-31,login
u_00001,2026-01-01,login
u_00001,2026-01-05,login
u_00001,2026-01-13,login
u_00001,2026-01-18,login
u_00001,2026-01-20,login
u_00001,2026-01-24,payment
u_00001,2026-01-29,login
u_00001,2026-02-18,login
u_00001,2026-02-20,login
u_00001,2026-02-23,payment
u_00001,2026-03-01,login
u_00001,2026-03-02,login
u_00001,2026-03-12,login
u_00001,2026-03-13,login
u_00001,2026-03-15,login
u_00001,2026-03-25,login
u_00001,2026-03-25,payment
u_00001,2026-04-04,login
u_00001,2026-04-24,payment
u_00001,2026-04-26,login
u_00001,2026-04-30,login
u_00001,2026-05-08,login
u_00001,2026-05-24,payment
u_00001,2026-05-29,login
u_00001,2026-06-08,login
u_00001,2026-06-09,login
u_00001,2026-06-16,login
u_00001,2026-06-20,login
u_00001,2026-06-22,login
u_00001,2026-06-23,login
u_00002,2024-01-30,login
u_00002,2024-01-30,payment
u_00002,2024-02-03,login
u_00002,2024-02-08,login
u_00002,2024-02-09,login
u_00002,2024-02-13,login
u_00002,2024-02-14,login
u_00002,2024-02-15,login
u_00002,2024-02-22,login
u_00002,2024-02-28,login
u_00002,2024-02-29,payment
u_00002,2024-03-02,login
u_00002,2024-03-04,login
u_00002,2024-03-10,login
u_00002,2024-03-13,login
u_00002,2024-03-25,login
u_00002,2024-04-01,login
u_00002,2024-04-05,login
u_00002,2024-04-07,login
u_00002,2024-04-14,login
u_00002,2024-04-15,login
u_00002,2024-04-21,login
u_00002,2024-04-23,login
u_00002,2024-04-26,login
u_00002,2024-04-28,login
u_00002,2024-04-29,payment
u_00002,2024-05-07,login
u_00002,2024-05-09,login
u_00002,2024-05-10,login
u_00002,2024-05-11,login
u_00002,2024-05-14,login
u_00002,2024-05-16,login
u_00002,2024-05-18,login
u_00002,2024-05-24,login
u_00002,2024-05-26,login
u_00002,2024-05-27,login
u_00002,2024-05-28,login
u_00002,2024-05-29,payment
u_00002,2024-06-01,login
u_00002,2024-06-08,login
u_00002,2024-06-10,login
u_00002,2024-06-14,login
u_00002,2024-06-28,payment
u_00002,2024-06-29,login
u_00002,2024-07-03,login
u_00002,2024-07-04,login
u_00002,2024-07-05,login
u_00002,2024-07-07,login
u_00002,2024-07-09,login
u_00002,2024-07-12,login
u_00002,2024-07-17,login
u_00002,2024-07-20,login
u_00002,2024-07-22,login
u_00002,2024-07-27,login
u_00002,2024-07-28,payment
u_00002,2024-07-30,login
u_00002,2024-08-02,login
u_00002,2024-08-03,login
u_00002,2024-08-04,login
u_00002,2024-08-05,login
u_00002,2024-08-11,login
u_00002,2024-08-14,login
u_00002,2024-08-19,login
u_00002,2024-08-23,login
u_00002,2024-08-26,login
u_00002,2024-08-27,login
u_00002,2024-08-27,payment
u_00002,2024-09-04,login
u_00002,2024-09-08,login
u_00002,2024-09-16,login
u_00002,2024-09-17,login
u_00002,2024-09-18,login
u_00002,2024-09-23,login
u_00002,2024-09-26,payment
u_00002,2024-09-29,login
u_00002,2024-10-01,login
u_00002,2024-10-03,login
u_00002,2024-10-10,login
u_00002,2024-10-11,login
u_00002,2024-10-13,login
u_00002,2024-10-16,login
u_00002,2024-10-25,login
u_00002,2024-10-26,payment
u_00002,2024-11-02,login
u_00002,2024-11-04,login
u_00002,2024-11-05,login
u_00002,2024-11-09,login
u_00002,2024-11-24,login
u_00002,2024-11-25,payment
u_00002,2024-11-25,login
u_00002,2024-11-27,login
u_00002,2024-11-29,login
u_00002,2024-12-01,login
u_00002,2024-12-02,login
u_00002,2024-12-04,login
