subscription_id,user_id,plan_name,start_date,end_date,status,monthly_price,auto_renew,billing_cycle,last_payment_date,total_revenue
s_000001,u_00001,Pro,2025-07-28,,active,19.99,True,monthly,2026-06-26,233.65
s_000002,u_00002,Premium,2024-01-30,,active,39.99,True,monthly,2026-06-26,1232.6
s_000003,u_00003,Premium,2026-01-25,,active,39.99,True,yearly,2026-07-06,217.73
s_000004,u_00004,Pro,2025-03-10,,active,19.99,True,monthly,2026-06-23,294.75
s_000005,u_00005,Premium,2024-12-17,,active,39.99,False,monthly,2026-06-30,752.71
s_000006,u_00006,Basic,2026-02-26,2026-06-20,cancelled,9.99,False,monthly,2026-06-01,34.85
s_000007,u_00007,Basic,2025-04-25,,active,9.99,True,monthly,2026-06-14,132.65
s_000008,u_00008,Basic,2024-12-21,,active,9.99,True,monthly,2026-06-12,187.88
s_000009,u_00009,Basic,2024-12-11,,active,9.99,True,monthly,2026-06-26,195.28
s_000010,u_00010,Basic,2026-01-09,,active,9.99,True,monthly,2026-06-26,54.76
s_000011,u_00011,Basic,2025-09-06,,active,9.99,True,monthly,2026-06-21,91.93
s_000012,u_00012,Pro,2025-09-22,,active,19.99,True,monthly,2026-06-26,197.54
s_000013,u_00013,Pro,2024-11-06,,active,19.99,True,yearly,2026-06-30,372.04
s_000014,u_00014,Pro,2025-07-24,2026-06-04,cancelled,19.99,False,monthly,2026-05-24,190.01
s_000015,u_00015,Basic,2025-01-11,,active,9.99,True,monthly,2026-06-13,181.62
s_000016,u_00016,Pro,2024-09-03,2026-04-21,cancelled,19.99,True,monthly,2026-04-10,407.24
s_000017,u_00017,Basic,2024-07-09,,active,9.99,True,monthly,2026-06-23,236.56
s_000018,u_00018,Basic,2025-11-15,,active,9.99,True,monthly,2026-06-14,76.11
s_000019,u_00019,Basic,2024-04-20,,active,9.99,True,monthly,2026-06-22,255.44
s_000020,u_00020,Basic,2025-12-06,2026-04-08,cancelled,9.99,True,monthly,2026-03-31,38.33
s_000021,u_00021,Basic,2025-12-22,,active,9.99,False,monthly,2026-06-14,66.14
s_000022,u_00022,Pro,2025-11-22,,active,19.99,True,monthly,2026-06-30,154.72
s_000023,u_00023,Pro,2025-11-01,2026-05-02,cancelled,19.99,True,monthly,2026-04-29,114.99
s_000024,u_00024,Pro,2024-05-18,,active,19.99,False,yearly,2026-06-19,488.49
s_000025,u_00025,Basic,2025-11-03,,active,9.99,True,monthly,2026-07-03,76.7
s_000026,u_00026,Pro,2024-10-01,2026-05-05,cancelled,19.99,True,yearly,2026-04-18,351.36
s_000027,u_00027,Pro,2025-05-16,,active,19.99,True,monthly,2026-06-14,261.16
s_000028,u_00028,Basic,2026-01-11,2026-04-21,cancelled,9.99,True,monthly,2026-04-13,30.1
s_000029,u_00029,Pro,2025-04-16,,active,19.99,False,monthly,2026-07-04,302.61
s_000030,u_00030,Basic,2026-01-24,,active,9.99,False,yearly,2026-06-26,50.93
s_000031,u_00031,Basic,2025-04-03,,active,9.99,True,monthly,2026-06-12,153.39
