subscription_id,user_id,plan_name,subscription_start_date,subscription_end_date,is_active,tenure_days,total_revenue,monthly_price,auto_renew,billing_cycle,last_payment_date,country,signup_source,device_type,age,cohort_month
s_000001,u_00001,Pro,2025-07-28,,1,342,233.65,19.99,True,monthly,2026-06-26,DE,mobile,mobile,49,2025-07
s_000002,u_00002,Premium,2024-01-30,,1,887,1232.6,39.99,True,monthly,2026-06-26,UK,web,desktop,49,2024-01
s_000003,u_00003,Premium,2026-01-25,,1,161,217.73,39.99,True,yearly,2026-07-06,ES,referral,mobile,29,2026-01
s_000004,u_00004,Pro,2025-03-10,,1,482,294.75,19.99,True,monthly,2026-06-23,IT,mobile,mobile,59,2025-03
s_000005,u_00005,Premium,2024-12-17,,1,565,752.71,39.99,False,monthly,2026-06-30,FR,web,desktop,53,2024-12
s_000006,u_00006,Basic,2026-02-26,2026-06-20,0,114,34.85,9.99,False,monthly,2026-06-01,NL,web,desktop,57,2026-02
s_000007,u_00007,Basic,2025-04-25,,1,436,132.65,9.99,True,monthly,2026-06-14,DE,mobile,tablet,42,2025-04
s_000008,u_00008,Basic,2024-12-21,,1,561,187.88,9.99,True,monthly,2026-06-12,DE,web,desktop,64,2024-12
s_000009,u_00009,Basic,2024-12-11,,1,571,195.28,9.99,True,monthly,2026-06-26,FR,web,desktop,38,2024-12
s_000010,u_00010,Basic,2026-01-09,,1,177,54.76,9.99,True,monthly,2026-06-26,UK,partner,desktop,59,2026-01
s_000011,u_00011,Basic,2025-09-06,,1,302,91.93,9.99,True,monthly,2026-06-21,UK,web,desktop,28,2025-09
s_000012,u_00012,Pro,2025-09-22,,1,286,197.54,19.99,True,monthly,2026-06-26,NL,web,mobile,30,2025-09
s_000013,u_00013,Pro,2024-11-06,,1,606,372.04,19.99,True,yearly,2026-06-30,IT,partner,mobile,45,2024-11
s_000014,u_00014,Pro,2025-07-24,2026-06-04,0,315,190.01,19.99,False,monthly,2026-05-24,ES,mobile,desktop,46,2025-07
s_000015,u_00015,Basic,2025-01-11,,1,540,181.62,9.99,True,monthly,2026-06-13,UK,web,mobile,56,2025-01
s_000016,u_00016,Pro,2024-09-03,2026-04-21,0,595,407.24,19.99,True,monthly,2026-04-10,FR,referral,desktop,33,2024-09
s_000017,u_00017,Basic,2024-07-09,,1,726,236.56,9.99,True,monthly,2026-06-23,UK,referral,desktop,63,2024-07
s_000018,u_00018,Basic,2025-11-15,,1,232,76.11,9.99,True,monthly,2026-06-14,FR,web,mobile,35,2025-11
s_000019,u_00019,Basic,2024-04-20,,1,806,255.44,9.99,True,monthly,2026-06-22,ES,mobile,tablet,45,2024-04
s_000020,u_00020,Basic,2025-12-06,2026-04-08,0,123,38.33,9.99,True,monthly,2026-03-31,IT,web,desktop,66,2025-12
s_000021,u_00021,Basic,2025-12-22,,1,195,66.14,9.99,False,monthly,2026-06-14,DE,web,desktop,46,2025-12
