user_id,churn_probability,monthly_price,target_for_retention
u_00155,0.975,9.99,True
u_00437,0.9381,19.99,True
u_00263,0.8669,9.99,True
u_00435,0.7989,19.99,True
u_00560,0.772,9.99,True
u_00316,0.7659,19.99,True
u_00252,0.7606,19.99,True
u_00450,0.7165,39.99,True
u_00542,0.7133,9.99,True
u_00402,0.6981,9.99,True
u_00168,0.6678,19.99,True
u_00594,0.6664,9.99,True
u_00747,0.6572,9.99,True
u_00476,0.64,39.99,True
u_00605,0.6369,9.99,True
u_00138,0.5934,39.99,True
u_00786,0.5442,9.99,True
u_00148,0.53,19.99,True
u_00226,0.5273,9.99,True
u_00729,0.5146,9.99,True
u_00053,0.4895,9.99,True
u_00216,0.4823,9.99,True
u_00472,0.466,19.99,True
u_00131,0.4409,39.99,True
u_00416,0.4257,19.99,True
u_00161,0.4249,9.99,True
u_00087,0.4024,19.99,True
u_00183,0.401,39.99,True
u_00772,0.393,9.99,True
u_00592,0.3882,9.99,True
u_00769,0.3879,9.99,True
u_00515,0.3805,39.99,True
u_00410,0.3795,9.99,True
u_00530,0.3775,19.99,True
u_00794,0.3555,9.99,True
u_00156,0.3543,9.99,True
u_00396,0.3536,39.99,True
u_00282,0.3459,19.99,True
u_00048,0.3387,19.99,True
u_00051,0.3012,39.99,False
u_00655,0.3008,19.99,False
u_00036,0.2938,9.99,False
u_00425,0.2862,19.99,False
u_00336,0.284,19.99,False
u_00295,0.2826,9.99,False
u_00462,0.2632,39.99,False
u_00725,0.2482,9.99,False
u_00433,0.2449,19.99,False
u_00290,0.2349,9.99,False
u_00434,0.2313,9.99,False
u_00471,0.2301,9.99,False
u_00572,0.2286,39.99,False
u_00796,0.2245,9.99,False
u_00597,0.2221,19.99,False
u_00346,0.214,9.99,False
u_00609,0.2089,39.99,False
u_00418,0.1931,9.99,False
u_00717,0.1874,9.99,False
u_00754,0.1846,19.99,False
u_00748,0.1689,9.99,False
u_00612,0.1636,9.99,False
u_00694,0.1628,9.99,False
u_00553,0.1615,9.99,False
u_00401,0.1592,9.99,False
u_00193,0.1577,39.99,False
u_00268,0.1542,9.99,False
u_00675,0.1531,39.99,False
u_00535,0.1455,9.99,False
u_00577,0.1451,19.99,False
u_00391,0.1421,19.99,False
u_00362,0.1374,9.99,False
u_00453,0.1348,9.99,False
u_00493,0.1346,9.99,False
u_00327,0.1344,9.99,False
u_00303,0.1341,9.99,False
u_00492,0.1336,19.99,False
u_00234,0.1276,9.99,False
u_00508,0.1252,19.99,False
u_00273,0.1193,19.99,False
u_00623,0.1193,9.99,False
u_00117,0.1178,19.99,False
u_00482,0.1123,9.99,False
u_00105,0.1111,19.99,False
u_00701,0.1102,9.99,False
u_00260,0.1095,19.99,False
u_00025,0.1075,9.99,False
u_00357,0.1061,9.99,False
u_00104,0.1038,39.99,False
u_00082,0.1032,9.99,False
u_00207,0.0998,9.99,False
u_00633,0.0988,9.99,False
u_00093,0.0978,19.99,False
u_00311,0.0964,39.99,False
u_00759,0.0954,9.99,False
u_00218,0.0878,19.99,False
u_00374,0.0873,9.99,False
u_00656,0.086,9.99,False
u_00408,0.0856,9.99,False
u_00035,0.0824,9.99,False
u_00643,0.081,19.99,False
u_00227,0.0808,9.99,False
u_00544,0.0788,9.99,False
u_00677,0.0788,9.99,False
u_00056,0.0781,19.99,False
u_00341,0.0752,39.99,False
u_00758,0.0742,39.99,False
u_00768,0.0734,9.99,False
