month,active_subscribers,new_subscriptions,cancellations,mrr,net_change,cumulative_revenue
2024-01,6,6,0,109.94,6,109.94
2024-02,27,21,0,509.73,21,619.67
2024-03,57,30,0,1029.43,30,1649.1
2024-04,80,23,0,1419.2,23,3068.3
2024-05,107,27,0,1908.93,27,4977.23
2024-06,130,23,0,2348.7,23,7325.93
2024-07,157,27,0,2878.43,27,10204.36
2024-08,189,32,0,3498.11,32,13702.47
2024-09,216,27,0,4017.84,27,17720.31
2024-10,249,33,0,4617.51,33,22337.82
2024-11,280,31,0,5127.2,31,27465.02
2024-12,318,38,0,5766.82,38,33231.84
2025-01,352,34,0,6236.48,34,39468.32
2025-02,374,22,0,6656.26,22,46124.58
2025-03,394,20,0,6986.06,20,53110.64
2025-04,432,38,0,7685.68,38,60796.32
2025-05,455,23,0,8075.45,23,68871.77
2025-06,483,28,0,8535.17,28,77406.94
2025-07,509,26,0,9004.91,26,86411.85
2025-08,537,28,0,9474.63,28,95886.48
2025-09,581,44,0,10174.19,44,106060.67
2025-10,615,34,0,10743.85,34,116804.52
2025-11,668,53,0,11733.32,53,128537.84
2025-12,722,54,0,12572.78,54,141110.62
2026-01,770,48,0,13362.3,48,154472.92
2026-02,799,29,0,13842.01,29,168314.93
2026-03,800,1,0,13852.0,1,182166.93
2026-04,773,0,27,13482.27,-27,195649.2
2026-05,741,0,32,12952.59,-32,208601.79
2026-06,702,0,39,12352.98,-39,220954.77
